Date,Open,High,Low,Close,Adj Close,Volume
02/01/2018,8659.90332,8817.266602,8654.985352,8753.337891,8096.356445,116553
03/01/2018,8694.326172,8733.666992,8620.5625,8625.480469,7978.095215,73075
04/01/2018,8630.397461,8654.985352,8536.962891,8615.644531,7968.99707,93162
05/01/2018,8659.90332,8738.584961,8630.397461,8723.832031,8069.064453,195428
08/01/2018,8556.633789,8650.068359,8492.705078,8650.068359,8000.837891,149571
09/01/2018,8669.738281,8713.99707,8630.397461,8654.985352,8005.383789,131328
10/01/2018,8620.5625,8699.244141,8281.248047,8335.34082,7709.731445,182109
11/01/2018,8153.390137,8320.588867,8153.390137,8266.495117,7646.053223,211819
12/01/2018,8251.742188,8359.929688,8207.483398,8320.588867,7696.086914,198914
15/01/2018,8389.43457,8409.105469,8281.248047,8389.43457,7759.765137,199689
16/01/2018,8399.270508,8487.787109,8271.412109,8320.588867,7696.086914,131162
17/01/2018,8330.423828,8330.423828,8158.307617,8222.236328,7605.116211,210740
18/01/2018,8276.330078,8345.176758,8128.801758,8271.412109,7650.601074,80573
19/01/2018,8251.742188,8345.176758,8227.154297,8310.75293,7686.989258,130750
22/01/2018,8212.401367,8291.083008,8084.543457,8138.637207,7527.791992,329923
23/01/2018,8296.000977,8296.000977,8153.390137,8173.060059,7559.631348,158542
24/01/2018,8123.884277,8192.730469,8000.944336,8035.367188,7432.272949,131340
25/01/2018,7981.273926,8030.449707,7897.674316,7897.674316,7304.914063,296515
26/01/2018,7946.850586,7996.026367,7902.591797,7946.850586,7350.399902,237593
29/01/2018,7932.097656,8015.696777,7927.180176,7981.273926,7382.23877,230585
30/01/2018,7946.850586,8025.532227,7917.344727,7986.191406,7386.787598,81609
31/01/2018,8168.142578,8168.142578,7941.933105,8040.285156,7436.821289,221457
01/02/2018,8109.131348,8109.131348,7966.520996,8005.861816,7404.981445,280099
02/02/2018,7976.355957,8045.202637,7932.097656,8000.944336,7400.433105,204714
05/02/2018,7927.180176,8015.696777,7892.756836,7951.768066,7354.948242,210135
06/02/2018,7794.404785,7907.509766,7725.558105,7843.580566,7254.880371,373875
07/02/2018,7868.168945,7976.355957,7828.828125,7971.438477,7373.141602,136662
08/02/2018,7873.086426,7971.438477,7858.333496,7892.756836,7300.365723,213524
09/02/2018,7828.828125,8015.696777,7828.828125,8015.696777,7414.078613,296053
12/02/2018,8000.944336,8089.460938,7946.850586,7946.850586,7350.399902,121577
13/02/2018,7927.180176,8005.861816,7897.674316,7981.273926,7382.23877,126653
14/02/2018,7981.273926,8084.543457,7961.603516,8045.202637,7441.369629,374074
15/02/2018,8045.202637,8133.719727,8045.202637,8114.049316,7505.048828,158233
16/02/2018,8128.801758,8197.648438,8128.801758,8158.307617,7545.985352,93591
19/02/2018,8128.801758,8222.236328,8128.801758,8177.978027,7564.179199,197577
20/02/2018,8217.318359,8266.495117,8187.812988,8261.577148,7641.504395,117401
21/02/2018,8246.824219,8369.764648,8168.142578,8359.929688,7732.475586,271724
22/02/2018,8276.330078,8359.929688,8271.412109,8335.34082,7709.731445,309699
23/02/2018,8350.09375,8355.011719,8246.824219,8296.000977,7673.344727,294219
26/02/2018,8300.917969,8359.929688,8291.083008,8359.929688,7732.475586,157111
27/02/2018,8310.75293,8463.199219,8310.75293,8443.52832,7809.799316,316254
28/02/2018,8389.43457,8433.693359,8300.917969,8300.917969,7677.893066,520983
01/03/2018,8345.176758,8364.84668,8094.378418,8133.719727,7523.243164,326495
02/03/2018,8059.955566,8197.648438,8035.367188,8158.307617,7545.985352,99714
05/03/2018,8173.060059,8202.566406,8069.790527,8123.884277,7514.145508,398567
06/03/2018,8153.390137,8251.742188,8084.543457,8084.543457,7477.757324,154570
07/03/2018,7922.262207,7922.262207,7553.441895,7809.157715,7223.041016,525978
08/03/2018,7799.322266,7892.756836,7784.569336,7868.168945,7277.623047,320881
09/03/2018,7828.828125,7868.168945,7735.393555,7755.063965,7173.007813,371678
12/03/2018,7774.734375,7818.992676,7656.711914,7710.805176,7132.070313,155006
13/03/2018,7696.052734,7745.228516,7533.771484,7553.441895,6986.518066,212816
14/03/2018,7489.513184,7696.052734,7489.513184,7651.793945,7077.488281,94860
15/03/2018,7637.041504,7646.876465,7558.359375,7558.359375,6991.066406,126292
16/03/2018,7538.688965,7582.947754,7460.007324,7509.183594,6945.581055,285838
19/03/2018,7538.688965,7558.359375,7484.595703,7519.019043,6954.678711,138703
20/03/2018,7568.194824,7587.865234,7287.891113,7302.644043,6754.543945,420314
21/03/2018,7332.149902,7356.737793,7219.044922,7337.067383,6786.383789,185578
22/03/2018,7297.726563,7337.067383,7248.550293,7317.396973,6768.189941,200442
23/03/2018,7278.056152,7307.562012,7223.962402,7253.468262,6709.059082,185941
26/03/2018,7278.056152,7278.056152,6992.834961,7037.093262,6508.923828,242673
27/03/2018,7071.516602,7140.363281,7056.763672,7140.363281,6604.443359,319862
28/03/2018,7081.352051,7164.951172,6958.411621,7164.951172,6627.185547,120363
29/03/2018,7150.198242,7209.209473,7046.928711,7179.704102,6640.831543,139457
03/04/2018,7081.352051,7115.774902,7022.34082,7081.352051,6549.861328,211761
04/04/2018,7002.67041,7071.516602,6933.82373,6948.57666,6427.050781,193578
05/04/2018,7017.422852,7022.34082,6869.89502,6879.72998,6363.371582,264973
06/04/2018,6884.647461,6899.400391,6830.554199,6855.14209,6340.628906,294090
09/04/2018,6899.400391,6923.988281,6855.14209,6884.647461,6367.919922,216303
10/04/2018,6884.647461,6987.91748,6884.647461,6987.91748,6463.438965,149223
11/04/2018,7002.67041,7115.774902,7002.67041,7110.857422,6577.151855,217716
12/04/2018,6933.82373,7051.846191,6923.988281,7007.587891,6604.962402,154897
13/04/2018,7007.587891,7086.269531,7002.67041,7002.67041,6600.327637,244510
16/04/2018,7051.846191,7110.857422,7017.422852,7046.928711,6642.042969,79030
17/04/2018,7012.505371,7081.352051,6987.91748,7037.093262,6632.772461,247714
18/04/2018,7086.269531,7110.857422,7022.34082,7105.939941,6697.664063,240448
19/04/2018,7096.104492,7233.797852,7081.352051,7219.044922,6804.270508,97122
20/04/2018,7238.715332,7292.809082,7140.363281,7184.621582,6771.824707,88589
23/04/2018,7194.457031,7248.550293,7160.033691,7199.374512,6785.729492,178268
24/04/2018,7125.610352,7155.116211,6727.28418,6850.224609,6456.640137,316978
25/04/2018,6850.224609,6889.56543,6835.47168,6835.47168,6442.73584,217966
26/04/2018,6860.05957,6909.23584,6830.554199,6884.647461,6489.085449,129289
27/04/2018,6909.23584,6997.752441,6899.400391,6997.752441,6595.692383,115868
30/04/2018,7007.587891,7155.116211,6968.24707,7061.681641,6655.94873,251404
01/05/2018,7046.928711,7174.786621,7046.928711,7135.445801,6725.474121,93539
02/05/2018,6825.63623,6850.224609,6569.920898,6687.943359,6303.683105,1021904
03/05/2018,6668.272949,6786.29541,6648.602539,6742.037109,6354.668945,266630
04/05/2018,6791.213379,6894.48291,6712.531738,6737.119629,6350.034668,292564
08/05/2018,6751.87207,6810.883789,6727.28418,6786.29541,6396.384277,150444
09/05/2018,6746.95459,6928.90625,6707.61377,6928.90625,6530.801758,144692
10/05/2018,6948.57666,7101.022461,6938.741211,7071.516602,6665.218262,174328
11/05/2018,7120.692871,7120.692871,6973.164551,6987.91748,6586.422363,100513
14/05/2018,6958.411621,8114.049316,6923.988281,7843.580566,7392.922852,894637
15/05/2018,7863.250977,7941.933105,7617.371094,7632.123535,7193.614746,578414
16/05/2018,7700.970215,8187.812988,7671.464844,8114.049316,7647.851074,303086
17/05/2018,7868.168945,8364.84668,7740.311035,8266.495117,7791.538574,631633
18/05/2018,8256.65918,8477.952148,8236.989258,8458.28125,7972.305664,438442
21/05/2018,8482.869141,8664.821289,8438.611328,8645.150391,8148.4375,447493
22/05/2018,8664.821289,8699.244141,8463.199219,8522.209961,8032.562012,166502
23/05/2018,8527.12793,8586.139648,8468.117188,8487.787109,8000.116211,418627
24/05/2018,8586.139648,8802.513672,8541.880859,8709.079102,8208.693359,319538
25/05/2018,8827.101563,8950.041992,8699.244141,8930.37207,8417.271484,396780
29/05/2018,8841.854492,9013.970703,8768.09082,8950.041992,8435.811523,249798
30/05/2018,8969.711914,8969.711914,8876.27832,8959.876953,8445.081055,193327
31/05/2018,8925.454102,9028.723633,8876.27832,8959.876953,8445.081055,945938
01/06/2018,8969.711914,9004.135742,8782.84375,8886.113281,8375.555664,150443
04/06/2018,8723.832031,8851.689453,8532.045898,8817.266602,8310.665039,262021
05/06/2018,8802.513672,8910.701172,8630.397461,8743.50293,8241.139648,324887
06/06/2018,8768.09082,8822.18457,8669.738281,8704.162109,8204.058594,275493
07/06/2018,8694.326172,8807.431641,8502.540039,8502.540039,8014.020996,449722
08/06/2018,8512.375,8605.80957,8433.693359,8443.52832,7958.400391,360772
